sentence,article,start,end,group,pred_v1,pred_v2,pred_v3,text_sha256
0,0,0,46,neither,bho,bho_Deva,anp_Deva,8023fe9773dad47c8026919dc7f349185d3f24134032f80293f6d346de1be3ee
1,0,47,160,angika_marked,bho,bho_Deva,anp_Deva,b18f2d7776d3007cfe8862cd1783e662e74b08a47db033adce1a3d1f958132b2
2,0,161,237,neither,bho,mai_Deva,anp_Deva,adb57eb4545fa2e997ca109f4d2e3af8320264c00298964fa1862fd03f2ed39e
3,2,0,125,angika_marked,bho,mag_Deva,anp_Deva,7d8a0c1f624af0f8f22cdc86c9c686c8e14da34a89c6750830ec0e5df70f4e3e
4,2,126,230,angika_marked,mag,bho_Deva,anp_Deva,ce8e40d1a712c7bc2f834244d3d55b7dcffc005aaaa34bff797216776f50cd0d
5,2,231,318,angika_marked,mag,mag_Deva,anp_Deva,0bb8db1a00b39b546e124f84570bc8687b6af9a0527d9e7d4966ee4558d80590
6,3,0,116,angika_marked,mag,mag_Deva,anp_Deva,a386bf5437fd21e45c2d6e90aa8b45c369ed64eca9db54d65714d0546f9c8978
7,3,117,245,angika_marked,bho,mai_Deva,anp_Deva,7624305f79986213d1505bf8d64faec80c91e032225f2a621c0fdfb4b414815b
8,3,295,339,angika_marked,kas,mag_Deva,anp_Deva,214916195dc1b5450383fe1a184815ec4b0575ff56b0b8c70e9027a674daef38
9,3,411,448,neither,mag,hne_Deva,anp_Deva,661448ee83f14023135460d61037f20943e49a1441475696fe5a50989ca5e8cc
10,4,71,143,neither,awa,mai_Deva,anp_Deva,71688245efd104ed0b9b85e8b3177ec926cfd736a44b76482209a668369426d9
11,5,0,42,angika_marked,npi,mai_Deva,anp_Deva,6cb22e3a0370709362772ceabc2ea36d0e8139d3157c36fbf242ee049e1620e8
12,6,0,70,angika_marked,bho,bho_Deva,anp_Deva,55545b00bb3b139e3aab21d653388bfef1dd37aeba9fb2d6b2bd6a3a30cbedb3
13,6,71,117,angika_marked,awa,awa_Deva,anp_Deva,f100e65a31399f629d5b428bea13cc66ae431fcfe518cac463293c65ced6def3
14,6,118,198,neither,bho,bho_Deva,anp_Deva,a8aaf40cf5b74b03b52378bfd6c4140cb8a75dbd652aa9f29d24efa4bf4f8be3
15,6,199,300,angika_marked,bho,bho_Deva,anp_Deva,20a2e0d53faf23477d31497a5a6db3a8641c4f3a3234e4d888f257d61f3fdfc7
16,6,301,330,neither,hin,hin_Deva,hin_Deva,5184d34ff97c9b7a6ca05d9009c2942c7b744b4968ec13f4c444ae045a34fd1f
17,6,331,447,neither,hin,awa_Deva,anp_Deva,fd95ade2cccc2540d295c9809b4e67c072592964ace3fa61c59ce4ca7e48f382
18,6,448,517,angika_marked,mag,mai_Deva,anp_Deva,72e6f526ecba8f67a414c7011820973d19ba25f763f331cbc2092ff39dd9995d
19,6,611,743,neither,hin,awa_Deva,anp_Deva,c5a0f9347a3573daea03c08db2764d491966830c186696cd163cc2a551572c16
20,6,744,770,neither,mag,mag_Deva,anp_Deva,a06b4a54866006ed57d4ac122b9d5d0e85c937a5a390f82f22fb9a5033d7e55e
21,6,771,831,neither,hin,hin_Deva,anp_Deva,8b3161ec4969561fabe860b512a85438cc1f40640910ae63ada8dd24e9d1ccb0
22,6,832,882,neither,hin,awa_Deva,anp_Deva,38c6b9f07b3087b6cd8772f8f8994a209c332e7707d515125132dacd6a9e19ec
23,6,883,980,neither,mag,mag_Deva,anp_Deva,5796523bc9a14621ed8b4a9e3cf7f2b3a20a1cf1ca53925d10f67067eafdd803
24,6,981,1028,neither,awa,awa_Deva,anp_Deva,38e3aa0ee96f880dae57b2db48bb141979a413b431b5025a2a22c202a0f85c4a
25,6,1029,1069,neither,mag,mai_Deva,anp_Deva,81a039ea8df794737d424d70cb01f6acda59abea5540f333dbbeb3cb806eca0b
26,6,1070,1120,neither,mag,mag_Deva,mag_Deva,5bc5fb61e4b2c63017384b02a7d0283ab9472c988bbe639320868c3232b1043e
27,6,1399,1498,angika_marked,mag,mag_Deva,mag_Deva,ea881201df763bd4f865ae3b2361f2760990a880fcdf7581aaad5c25b55c7c16
28,6,1499,1606,angika_marked,mag,mag_Deva,anp_Deva,4676087c0360bbab90829206659b51dcaf8a142a726ccf92b3607b1f31905a69
29,6,1607,1725,angika_marked,mag,mai_Deva,anp_Deva,e2284140faf0963c4ca37ca0ec6bc066ff70f7d553ef6219e32edfb6691683f0
30,7,0,150,angika_marked,mag,awa_Deva,anp_Deva,87b5be7b9fe6020aca300eb9d1b85b5e4dadad96d8666f2e1f279b6021b0fb9d
31,7,151,332,angika_marked,awa,awa_Deva,anp_Deva,04ffdd798433afe0172520c2d5c2de661a1dd02c8149327ea534444d9db49ba6
32,7,333,449,angika_marked,mag,mai_Deva,anp_Deva,106216a78ce5cab4f9f8d817627f591d9776101daf19f7d5a23efcf80ec48913
33,7,450,527,angika_marked,mag,awa_Deva,anp_Deva,911c6fae6ced1839d4a2c5c08294505810b506c0a4cead1f7b3a88334df01e40
34,7,528,652,angika_marked,awa,awa_Deva,anp_Deva,4aca4c21c9ba8e55a8e7df29ef1f3cdf0139be01b572cd4d74eb4e0251aaae6a
35,7,796,982,angika_marked,awa,mai_Deva,anp_Deva,6e371965235e9da5f8e574163e0f6366c88a1521c5bcaac3c95ac1b43ab9036a
36,7,983,1129,angika_marked,awa,awa_Deva,anp_Deva,7e05a21868f9eeed2b08a2352d46af995967bb8c5993eb189cd9b72f24fabfc3
37,7,1218,1415,angika_marked,awa,awa_Deva,anp_Deva,c1e9a00d28bbc48e87e7ef6bfc3b4728a4eab664a02909ab54947fc1710c8023
38,7,1416,1623,angika_marked,awa,awa_Deva,anp_Deva,aaf9cba6ff643d326160cd746a67eebb0e946d207ef24bac48dd5a4b7c73b529
39,7,1816,2056,angika_marked,awa,mai_Deva,anp_Deva,7c0df093709bc1a7390e2e4626e18854209ce86c66bbffedb350dce3e0d42729
40,8,167,191,angika_marked,mag,sck_Deva,anp_Deva,54cd44b526ae020ffd8619df4c6ab1c0a8e4d75508e7b49d1851c1ab0d57998d
41,8,192,288,angika_marked,mai,mai_Deva,anp_Deva,696e84e27f6aea29c5632075f9d46aba8a0f547d3a720961ea2d9033395289a8
42,8,289,427,angika_marked,mai,mai_Deva,anp_Deva,d2d497ac36bdc845c1445b1f5853cdf4d0b91eb00a3cb609d1623183996155a8
43,8,428,622,angika_marked,mai,mai_Deva,anp_Deva,9dda54d6827bbc6b7a697c6b0c337154fafbb85749f9c732675292d6cd438f0f
44,10,0,50,angika_marked,mai,mai_Deva,anp_Deva,ca6ca8814c2e136eafa2374972f6003d5fb679321a167b72b4b874bbfe99a91c
45,10,112,190,hindi_marked,hin,hin_Deva,anp_Deva,badcdd9f4b2bf39887b2f11e29ba5a49416045bfdbd3911a318143c73c0eb7bd
46,10,191,270,hindi_marked,hin,hin_Deva,anp_Deva,0a2caf42fec19a9c7ea0be3ae5099dac3699352c74452a347b94a7a04ba947df
47,10,271,339,hindi_marked,hin,hin_Deva,anp_Deva,44b6cb20a9e059d3818246ca77d63555ad44727ee390ba6b60f271bf23f7b36e
48,10,340,421,hindi_marked,hin,hin_Deva,anp_Deva,f57b8fa1382838ac1c418e90e125f42e948e0a5fe8a5d4c9aa381481596456cd
49,11,0,78,angika_marked,mai,mai_Deva,anp_Deva,cd1a94aad98d20558c62a4bccd63e7406c28233a1ee39cf494e934c7984cc493
50,11,79,136,hindi_marked,hin,hin_Deva,anp_Deva,1657ed26973dfe517275715a6c1c0089c9622ee4f58084c09acc7b89937873a7
51,11,137,196,hindi_marked,hin,hin_Deva,anp_Deva,9ac951a417373b25d596da9a3c2ed91f1d1842855e5ac646d4ac84401f840fd3
52,11,197,260,hindi_marked,hin,hin_Deva,anp_Deva,15b37b526f6e9223d5272cf8d6119c24a4c25b2c0398f03af8ae9587096cd179
53,11,261,322,hindi_marked,hin,hin_Deva,anp_Deva,3c0118c597b2da3a582c82dcb9cdff2d77ad801388b603e0859c6cb5e5922e7d
54,12,145,206,angika_marked,mag,awa_Deva,anp_Deva,5d4108737c5d485ed33f9261333ce85c6cba307dc533aa1b297a740ae7f7e053
55,12,207,282,angika_marked,mag,mag_Deva,anp_Deva,da7899c937769ec62d1ef390455a46c43de409db9833ec7329e65d9681095817
56,12,283,363,hindi_marked,hin,hin_Deva,anp_Deva,0d2fd33b3b95ac9f7fa7c32c1c00f1a2ed0506ad0131c93616dd36f14e148c63
57,12,364,423,hindi_marked,hin,hin_Deva,anp_Deva,0f13ba0f29f69ecb57df457b39ae026dc8fe9d1856e04b158a72c355f4f805b1
58,12,424,497,hindi_marked,hin,hin_Deva,anp_Deva,9873dd93627e0c879511facfeb0a8b73b639222a89db88b2b305f1e67c4749b7
59,12,498,586,hindi_marked,hin,hin_Deva,anp_Deva,f32a05df8a0a105c79d7a91e69ad42873b2101fc0d355fc4e9a6a272a8518fe5
60,12,587,712,hindi_marked,hin,hin_Deva,hin_Deva,064672e2594cfac3fc9fa5068af5cf738136192bd37e5c759667b222d2baee61
61,12,713,814,hindi_marked,hin,hin_Deva,anp_Deva,9846ae3e591b2b1f707ead454b9d2c12627068b4d9f4023f838314a534396ef1
62,12,815,852,hindi_marked,hin,hin_Deva,hin_Deva,5583bafd0ac6f9007a11c68293e4d02713d9a7f52706925ea882b036d592194e
